		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111001100   30   25   25   30   23   25   27   26  3.182985 0.922355 SUCCESS 124
111010000   23   23   21   22   29   22   27   21  2.815586 0.945392 SUCCESS 125
111010010   21   22   28   19   23   27   30   16  7.204512 0.514737 SUCCESS 126
111010100   29   34   24   30   21   24   28   27  7.471290 0.486739 SUCCESS 127
111010110   25   27   29   22   28   21   22   30  4.054812 0.852145 SUCCESS 128
111011000   22   28   27   26   27   27   24   25  1.784222 0.986927 SUCCESS 129
111011010   21   24   22   33   29   33   25   20  8.740967 0.364617 SUCCESS 130
111011100   22   31   10   23   33   29   20   31 17.653863 0.023977 SUCCESS 131
111100000   29   18   27   24   20   25   19   26  5.103388 0.746471 SUCCESS 132
111100010   25   29   17   16   30   20   30   17 12.017105 0.150442 SUCCESS 133
111100100   27   14   23   24   23   28   26   29  6.595491 0.580836 SUCCESS 134
111100110   26   15   28   31   25   24   24   25  6.290980 0.614673 SUCCESS 135
111101000   22   29   23   25   27   19   27   22  3.290888 0.914799 SUCCESS 136
111101010   26   30   22   22   21   20   24   29  4.138222 0.844442 SUCCESS 137
111101100   24   31   28   20   27   24   22   27  4.046207 0.852931 SUCCESS 138
111101110   18   21   14   25   29   30   26   31 11.001628 0.201607 SUCCESS 139
111110000   36   18   31   20   25   29   27   27 11.588805 0.170515 SUCCESS 140
111110010   31   15   30   21   23   29   20   33 12.341476 0.136606 SUCCESS 141
111110100   30   29   23   24   25   18   27   19  5.587296 0.693350 SUCCESS 142
111110110   24   23   25   21   30   28   27   15  6.502152 0.591169 SUCCESS 143
111111000   22   26   24   25   19   27   26   25  2.019887 0.980396 SUCCESS 144
111111010   25   32   21   33   23   20   23   25  7.088004 0.527168 SUCCESS 145
111111100   20   20   24   26   20   18   22   31  6.398883 0.602644 SUCCESS 146
111111110   22   23   34   29   23   26   29   30  7.547418 0.478878 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   26   24   26   25   32   22   21   18  5.155023 0.740886 SUCCESS   0
000000011   33   27   22   27   25   25   27   21  4.758497 0.783049 SUCCESS   1
000000101   22   21   18   29   27   21   18   12 12.387814 0.134721 SUCCESS   2
000000111   33   18   35   26   25   16   30   20 14.892084 0.061278 SUCCESS   3
000001001   31   24   25   22   22   29   25   24  3.275000 0.915934 SUCCESS   4
000001011   20   21   22   26   27   25   15   21  6.194993 0.625400 SUCCESS   5
000001101   17   33   21   26   21   28   24   16 10.085448 0.259080 SUCCESS   6
000001111   24   25   24   23   18   17   31   24  6.018245 0.645188 SUCCESS   7
000010001   29   26   23   20   25   27   19   26  3.553694 0.894983 SUCCESS   8
000010011   30   32   18   20   15   25   22   25 10.348254 0.241429 SUCCESS   9
000010101   22   22   32   23   21   20   26   22  4.679721 0.791195 SUCCESS  10
