		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111011100   23   28   24   24   13   22   29   30  8.620487 0.375315 SUCCESS 131
111100000   22   18   27   21   22   23   21   25  3.585469 0.892456 SUCCESS 132
111100010   21   17   27   29   26   18   25   27  6.137401 0.631844 SUCCESS 133
111100100   24   27   20   31   16   28   26   14 11.186983 0.191328 SUCCESS 134
111100110   30   25   31   26   37   35   26   18 16.632429 0.034172 SUCCESS 135
111101000   20   30   27   25   19   14   25   25  8.297441 0.404968 SUCCESS 136
111101010   15   30   29   23   25   21   23   22  6.882790 0.549330 SUCCESS 137
111101100   25   26   28   22   27   27   29   33  5.522422 0.700555 SUCCESS 138
111101110   18   22   24   19   23   18   27   28  5.873271 0.661425 SUCCESS 139
111110000   30   15   24   23   30   27   23   22  7.103891 0.525466 SUCCESS 140
111110010   21   32   19   28   25   23   26   18  6.663013 0.573388 SUCCESS 141
111110100   16   25   26   22   18   19   22   20  7.388543 0.495350 SUCCESS 142
111110110   23   25   23   30   28   25   30   34  7.310429 0.503540 SUCCESS 143
111111000   31   13   22   21   31   28   30   26 11.917808 0.154909 SUCCESS 144
111111010   20   20   25   17   22   22   23   12 11.056573 0.198514 SUCCESS 145
111111100   33   23   20   28   26   24   24   31  6.555110 0.585301 SUCCESS 146
111111110   25   25   21   29   30   26   31   30  6.030822 0.643779 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   17   25   27   33   29   16   30   22 11.214124 0.189859 SUCCESS   0
000000011   23   23   26   30   15   27   27   31  7.765871 0.456668 SUCCESS   1
000000101   28   21   23   19   37   16   16   27 15.347526 0.052730 SUCCESS   2
000000111   25   19   24   26   15   27   19   32  9.077253 0.335821 SUCCESS   3
000001001   25   26   26   36   25   23   28   24  6.589533 0.581495 SUCCESS   4
000001011   28   17   23   25   31   26   19   21  6.645801 0.575285 SUCCESS   5
000001101   27   28   26   21   19   27   16   26  6.052667 0.641332 SUCCESS   6
000001111   32   24   23   25   25   28   22   19  4.596312 0.799722 SUCCESS   7
000010001   23   24   25   29   28   19   21   20  4.095193 0.848434 SUCCESS   8
000010011   18   25   27   36   22   24   27   21  8.765461 0.362466 SUCCESS   9
000010101   26   19   18   32   34   32   28   21 12.918722 0.114677 SUCCESS  10
000010111   34   21   24   27   25   19   28   23  6.570998 0.583544 SUCCESS  11
000011001   26   28   30   28   17   24   15   31 10.451523 0.234753 SUCCESS  12
000011011   19   30   23   16   14   28   16   26 13.862705 0.085415 SUCCESS  13
000011101   19   22   33   16   26   34   26   23 11.807258 0.160013 SUCCESS  14
000011111   32   19   23   28   25   26   24   21  4.935246 0.764474 SUCCESS  15
000100011   26   26   27   33   27   20   23   23  4.910752 0.767071 SUCCESS  16
000100101   23   24   23   29   20   25   29   22  3.045293 0.931483 SUCCESS  17
000100111   21   25   23   32   13   31   22   23 10.713005 0.218497 SUCCESS  18
000101001   11   25   33   23   38   22   21   31 21.255696 0.006498 FAILURE  19
000101011   25   23   21   33   19   28   29   21  6.892720 0.548251 SUCCESS  20
000101101   22   27   20   22   18   33   27   22  6.993341 0.537351 SUCCESS  21
000101111   33   20   29   25   27   24   32   29  8.505303 0.385728 SUCCESS  22
000110011   23   21   35   30   25   19   14   31 14.340655 0.073307 SUCCESS  23
000110101   24   35   21   32   37   23   25   25 14.547192 0.068572 SUCCESS  24
000110111   16   27   24   14   15   19   18   30 15.903589 0.043781 SUCCESS  25
000111001   28   23   31   23   24   20   30   32  7.165456 0.518891 SUCCESS  26
000111011   23   21   23   18   28   37   29   17 12.882975 0.115940 SUCCESS  27
